Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Album Containing Twelve Paintings of Birds,Unidentified artist,19th century,58.79.1,Album of twelve leaves; color on pith paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP156864.jpg
Plate with Dragon and Waves,Unidentified Artist,first half of the 18th century,2001.362,"Porcelain painted with colored enamels over transparent glaze and gilding (Jingdezhen ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP343065.jpg
Belt plaque,Unidentified Artist,3rd–6th century,24.100.6,Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_100_6_57002.jpg
Figure of Seated Official,Unidentified Artist,Unknown Date,30.76.88,Red-brown clay,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_88_O1.jpg
Buddha,Unidentified Artist,4th century,18.56.84,Framed wall painting,China,https://images.metmuseum.org/CRDImages/as/mobile-large/18_56_84-87_O.JPG
Male attendant,Unidentified Artist,7th century,52.190.3,Unfired clay with pigment,China,https://images.metmuseum.org/CRDImages/as/mobile-large/154325.jpg
Piece,Unidentified Artist,18th century,20.148.547,Silk / Compound weave,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP15428.jpg
Vase,Unidentified Artist,late 17th–early 18th century,79.2.255,"Porcelain with incised and slight relief decoration, painted in underglaze blue and red, with blue and brown glazes",China,https://images.metmuseum.org/CRDImages/as/mobile-large/28012.jpg
Stem Cup,Unidentified Artist,Unknown Date,50.221.26,"Porcelain with mirror-black glaze, with traces of gilt design",China,https://images.metmuseum.org/CRDImages/as/mobile-large/50_221_26_S_sf.jpg
Piece,Unidentified Artist,18th century,20.148.875,Silk / Compound weave,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP15013.jpg
Cup with dragon handle,Unidentified Artist,18th century,50.221.43,Porcelain with crackled green glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/50_221_43_O1_sf.jpg
Seal,Unidentified Artist,Unknown Date,19.19.11,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/19_19_11_O1.jpg
Sleeve Band,Unidentified Artist,19th century,30.75.330,Silk;  on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79079.jpg
Bowl,Unidentified Artist,late 11th–12th century,1991.253.19,"Porcelain with black glaze (Ding ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14610-036.jpg
Cricket cage,Unidentified Artist,18th–19th century,28.186.8,"Gourd, jade",China,https://images.metmuseum.org/CRDImages/as/mobile-large/28_186_8.jpg
Bowl with the Eight Immortals,Unidentified Artist,late 18th–early 19th century,79.2.1307,Porcelain painted in overglaze polychrome enamels over engraved pink ground (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_1307_O1_sf.jpg
"Textile with Horned Animals in a Pearl Roundel

",Unidentified Artist,7th–9th century,"1996.1a, b",Woven silk,"China (Xinjiang Autonomous Region, Central Asia)",https://images.metmuseum.org/CRDImages/as/mobile-large/DP271813.jpg
Landscape with solitary figure,Shitao (Zhu Ruoji),1660s,1989.363.151,Album leaf; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153922.jpg
Statuette,Unidentified Artist,18th century or earlier,30.76.183,Painted wood,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_183.JPG
(Copy after) The Sixteen Luohans,Shitao (Zhu Ruoji),19th–early 20th century,"13.220.37a, b",Handscroll; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP165864_CRD.jpg
"Xuanzong&#39;s Preface, Text, and Commentary on the Classic of Filial Piety, also known as Shitai Xiaojing (Stone Platform Classic of Filial Piety)",Unidentified Artist,20th century,1977.375.3a–d,Ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1977_375_3a_d_label_strip_sf.jpg
Panel with birthday celebration,Unidentified Artist,19th century,54.189.10a–e,Silk tapestry (kesi),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP226529.jpg
Finial in the Shape of a Tiger&#39;s Head,Unidentified Artist,3rd century BCE,2002.201.154,Tinned bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/2002_201_154_O1.jpg
Hanging,Unidentified Artist,Unknown Date,49.32.135,"Streamers-silk, metallic thread;  top guard-silk, on silk;  center guard-silk, metallic thread, on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/145812.jpg
Vase with cover,Unidentified Artist,Unknown Date,"02.18.462a, b","Nephrite, yellowish-gray with longitudinal cloudings of dark gray",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_462_O2.jpg
Mountains in the Snow,Unidentified artist,Unknown Date,13.220.22,Handscroll; Ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP216385_CRD.jpg
Rank Badge with Silver Pheasant,Unidentified Artist,19th century,30.75.1008,"Silk, metallic thread",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79836.jpg
Vase with cover,Unidentified Artist,Unknown Date,"02.18.618a, b","Nephrite, white with light greenish tint",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_618_O2.jpg
Ritual Offering Vessel,Unidentified Artist,12th–17th century,"1984.212a, b",Bronze with silver and gold inlay over copper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1984_212ab_234037.jpg
Stem Cup (Bei),Unidentified Artist,2400–1900 BCE,1993.198.1,Earthenware,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1993_198_1.JPG
Miniature Vase,Unidentified Artist,19th century,14.40.518,Soft paste porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_518.jpg
Vase,Unidentified Artist,Unknown Date,21.175.139,Carnelian agate,China,https://images.metmuseum.org/CRDImages/as/mobile-large/21_175_139.jpg
"Tray with pommel scrolls
",Unidentified Artist,14th century,2015.500.1.2,"Carved red and black lacquer

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP222093.jpg
Beaker of Zhou Design,Unidentified Artist,Unknown Date,21.175.91,Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/49265.jpg
Vase,Unidentified Artist,11th–12th century,22.91.2,Stoneware with white glaze (Cizhou ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14610-051.jpg
The Mountain Maid,Unidentified Artist,Unknown Date,21.175.77,Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/49203.jpg
Covered Bowl (He),Unidentified Artist,Unknown Date,"1994.605.33a, b",Earthenware with pigment,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DT3802.jpg
Female attendant with dustpan,Unidentified Artist,6th–7th century,25.82.6,Earthenware with pigment,China,https://images.metmuseum.org/CRDImages/as/mobile-large/147980.jpg
Watch Case with Floral Decoration,Unidentified Artist,19th century,30.75.627,Satin with silk embroidery,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79518.jpg
Saucer,Unidentified Artist,Unknown Date,64.279.13,Porcelain painted in polychrome enamels,China,https://images.metmuseum.org/CRDImages/as/mobile-large/64_279_13.jpg
Piece,Unidentified Artist,17th century,20.148.749,Silk / Compound weave,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP15130.jpg
Roof Tile End,Unidentified Artist,Unknown Date,18.56.31,Earthenware,China,https://images.metmuseum.org/CRDImages/as/mobile-large/39054.jpg
Pectoral in the Shape of a Horse,Unidentified Artist,ca. 6th century BCE,2002.201.34,Gold,North or northeast China,https://images.metmuseum.org/CRDImages/as/mobile-large/2002_201_34_O1.jpg
Wall Vase,Unidentified Artist,18th century,29.110.39,Cloisonné enamel,China,https://images.metmuseum.org/CRDImages/as/mobile-large/29_110_39.jpg
Fragment of a Bowl (Study Collection),Unidentified Artist,ca. 10th century (?),1982.464.23,Ceramic with celadon glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1982_464_23.jpg
Rank Badge with Wild Goose,Unidentified Artist,late 18th–early 19th century,46.133.44,"Silk, metallic thread",China,https://images.metmuseum.org/CRDImages/as/mobile-large/144229.jpg
Dish with floral patterns,Unidentified Artist,late 17th–early 18th century,32.100.418,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/88229.jpg
Votive tablet,Unidentified Artist,6th century,30.76.120,Earthenware,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_120_O1.jpg
Piece,Unidentified Artist,18th century,20.148.543,Silk / Compound weave,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP15429.jpg
"Mt. Heng, after Juran (active ca. 960–965), from the Mustard Seed Garden Manual of Painting",Wang Gai,"First edition, 1679",CP6,Woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14004-001.jpg
Ax Blade Perforated for Use as an Amulet,Unidentified Artist,Unknown Date,02.18.324,Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_324 Hsiao Chan Celt.jpg
Vase,Unidentified Artist,Unknown Date,02.18.419,"Nephrite, very dark gray, almost black",China,https://images.metmuseum.org/CRDImages/as/mobile-large/18677.jpg
Plaque with Ibex and Kid,Unidentified Artist,5th–4th century BCE,2002.201.37,Bronze,North China,https://images.metmuseum.org/CRDImages/as/mobile-large/2002_201_37_O1.jpg
Tile Fragment,Unidentified Artist,early 15th century,42.114,Pottery with polychrome enamels,China,https://images.metmuseum.org/CRDImages/as/mobile-large/129735.jpg
Wine cup,Unidentified Artist,Unknown Date,02.18.401,Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_401_O2_sf.jpg
Snuff Bottle with Floral Design,Unidentified Artist,19th century,"14.40.473a, b",Agate with simulated coral stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_473.jpg
Peahen and hibiscus,Bian Lu,mid-14th century,1995.186,Hanging scroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1995_186_d2.JPG
Vase with lions,Unidentified Artist,late 17th–early 18th century,61.200.26,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/173569.jpg
Vase,Unidentified Artist,late 17th–early 18th century,14.40.34,Porcelain with black glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14605-099.jpg
Dish with ladies and boy,Unidentified Artist,late 17th–early 18th century,79.2.1037,"Porcelain painted in overglaze polychrome enamels, and reticulated decoration (Jingdezhen ware)",China,https://images.metmuseum.org/CRDImages/as/mobile-large/29158.jpg
"Ink tablet inscribed “Room for Meditating on Painting”

",Jian Guzhai,19th century,30.76.253,Pine soot and binding medium; inscribed in gilt,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_253_F.jpg
Snuff Bottle,Unidentified Artist,Unknown Date,29.149.84,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/29_149_84.jpg
Hairpin and Ear Scraper,Unidentified Artist,Unknown Date,25.186.8,Silver,China,https://images.metmuseum.org/CRDImages/as/mobile-large/25_186_8.jpg
Imperial Court Robe,Unidentified Artist,early 19th century,32.44,"Silk, metallic thread",China,https://images.metmuseum.org/CRDImages/as/mobile-large/87622.jpg
Jar,Unidentified Artist,3rd–4th century CE,27.236,Stoneware with impressed decoration under greenish glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/27_236_O1_sf.jpg
Figure of a Man,Unidentified Artist,Unknown Date,56.61.1,Pottery,China,https://images.metmuseum.org/CRDImages/as/mobile-large/161055.jpg
Ritual wine container (zun),Unidentified Artist,late 11th century BCE,24.72.4,Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-16136-001.jpg
Bowl with dragons,Unidentified Artist,Unknown Date,1991.253.54,Porcelain painted in underglaze cobalt blue and overglaze red and green enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP331531.jpg
"Rank Badge with Egret
",Unidentified Artist,19th century,30.75.878,"Silk, metallic thread",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79787.jpg
Vase,Unidentified Artist,1678–88,14.40.367,"Porcelain with moonlight glaze (Jingdezhen ware); Tiffany stand

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14605-112.jpg
Portion of a Horse Trapping,Unidentified Artist,18th century,1984.498.6,Gilt bronze,Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/264796.jpg
Seated court lady,Unidentified Artist,8th century,2010.120,Earthenware with tri-color (sancai) glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP227159.jpg
Vase with poetric scenes,Unidentified Artist,late 18th century,79.2.529,"Porcelain painted in underglaze cobalt blue and copper red, and low-relief decoration under celadon glaze (Jingdezhen ware)",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_529_O1.jpg
Tripod Bowl with Cover,Unidentified Artist,18th century,"50.145.100a, b",Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/148401.jpg
Lion,Unidentified Artist,8th century,42.25.31,Bronze with traces of gilding,China,https://images.metmuseum.org/CRDImages/as/mobile-large/42_25_31_127032.JPG
Page from Shi Zhu Zhai,Unidentified Artist,first edition printed in 1633,CP64,Polychrome woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP64_001.jpg
Statue of Official,Unidentified Artist,Unknown Date,34.31,"Wood, painted and gilded",China,https://images.metmuseum.org/CRDImages/as/mobile-large/95613.jpg
Theatrical Costume for the Role of a Warrior,Unidentified Artist,18th century,"46.187.1a, b","Silk, metallic thread, metal, glass",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP241388.jpg
Vase with archaic motifs,Unidentified Artist,Unknown Date,02.18.677,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_677_O2.jpg
"Vase with Basket of Auspicious Flowers

",Unidentified Artist,18th century,14.40.190,"Porcelain painted with colored enamels over transparent glaze (Jingdezhen ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14605-030.jpg
Portrait of an Old Lady,Ruan Zude,"dated ""xinyou"" (1561 or 1621?)",59.49.2,Hanging scroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-15981-001.jpg
"Vase in Shape of Ancient Bronze Vessel

",Unidentified Artist,15th–16th century,50.145.300,"Porcelain with celadon glaze (Longquan ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14609-153.jpg
Vase with butterflies and flowers,Unidentified Artist,mid-18th century,79.2.677,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_677_O1_sf.jpg
Bowl,Unidentified Artist,Unknown Date,29.100.206,Pottery (Jun ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/75863.jpg
"Old Trees, Level Distance",Guo Xi,ca. 1080,1981.276,Handscroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP167812_CRD.jpg
Letter to Xu Shangde,Tang Yin,Unknown Date,1989.363.56,Album leaf; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153917.jpg
Toy,Unidentified Artist,19th century,"67.179.18a, b",Silk and metallic thread embroidery on silk satin and float-patterned plain-weave silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP14311.jpg
Bird with Peach Spray,Unidentified Artist,13th century,2005.87,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP156666.jpg
Sleeve Band,Unidentified Artist,19th century,30.75.212,"Silk, metallic thread;  on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/78782.jpg
Vase,Unidentified Artist,late 18th–first half of the 19th century,79.2.135,Porcelain with incised decoration under light blue glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/28764.jpg
Covered Jar (Hu),Unidentified Artist,2nd–1st century BCE,"1992.165.20a, b",Earthenware with painted decoration,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP341151.jpg
Covered jar with plum blossoms,Unidentified Artist,late 17th–early 18th century,"14.40.315a, b",Porcelain painted in underglaze cobalt blue (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/20593.jpg
Hanging Case,Unidentified Artist,19th century,30.10.41,"Silk, glass",China,https://images.metmuseum.org/CRDImages/as/mobile-large/178566b.jpg
Meiping vase,Unidentified Artist,mid-18th century,79.2.86,Porcelain with copper red glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_86_O1_sf.jpg
Decorative belt plaques,Unidentified Artist,8th century,19.123a–e,Gilt bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/19_123ab_44116.jpg
Decorative belt plaque,Unidentified Artist,Unknown Date,24.102.5,Gilt bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_102_5_O.JPG
The Lingshouhua Studio,Zhao Zhiqian,1863,2000.514.50,Horizontal panel; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/2000_514_50.JPG
Woman&#39;s Vest,Unidentified Artist,late 19th–early 20th century,42.116.2,Silk on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/130059.jpg
Jar,Unidentified Artist,Unknown Date,46.39.14,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/46_39_14_O1_sf.jpg
Dish with flower scrolls,Unidentified Artist,18th century,19.28.13,Porcelain painted in underglaze cobalt blue and overglaze red enamel (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/19_28_13_O1_sf.jpg
Ornaments for Manzhu Hat,Unidentified Artist,18th century,35.140.4,"Metal, feathers, jade, seed pearls, topaz coral, glass",China,https://images.metmuseum.org/CRDImages/as/mobile-large/35_140_4_O1.jpg
Ornament,Unidentified Artist,Unknown Date,21.175.100,Jadeite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/49270.jpg
Vase,Unidentified Artist,18th–19th century,91.1.1194,Opaque white glass,China,https://images.metmuseum.org/CRDImages/as/mobile-large/91_1_1194_O1.jpg
Seal,Unidentified Artist,Unknown Date,16.144.96,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/16_144_96_34752.jpg
Sleeve Band,Unidentified Artist,19th century,30.75.350,"Silk, metallic thread;  on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79191.jpg
Girdle pendant,Unidentified Artist,Unknown Date,13.40.240,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/15160.jpg
Model of Guardian,Unidentified Artist,Unknown Date,1994.605.70,Stoneware,China,https://images.metmuseum.org/CRDImages/as/mobile-large/272401.jpg
Dish with Children in Garden,Unidentified Artist,mid-16th century,17.118.10,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14609-076.jpg
Cup,Unidentified Artist,18th century,08.212.3,"Rhinoceros horn, teakwood stand",China,https://images.metmuseum.org/CRDImages/as/mobile-large/08_212_3_O1.jpg
Covered jar with baskets of flowers,Unidentified Artist,18th century,"14.40.198a, b",Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_198ab_O1.jpg
Excerpt from “Song of Leyou Park”,Zhang Jizhi,Unknown Date,2000.325,Section of a handscroll mounted as a hanging scroll; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/2000_325.jpg
"Dish with pommel scrolls

",Unidentified Artist,second half 14th century,2015.500.1.25,"Carved black, red, and yellow lacquer (tixi)
",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP256086.jpg
Armored horse and rider,Unidentified Artist,6th century,20.39.3,Earthenware with pigment,China,https://images.metmuseum.org/CRDImages/as/mobile-large/20_39_3_O1.jpg
Plate,Unidentified Artist,1700–1722,63.213.15,Porcelain painted in overglaze famille verte enamels,China,https://images.metmuseum.org/CRDImages/as/mobile-large/63_213_15.jpg
Saucer,Unidentified Artist,late 18th–first half of the 19th century,79.2.1089,"Moulded porcelain painted in overglaze black, red, and gilt",China,https://images.metmuseum.org/CRDImages/as/mobile-large/29146.jpg
Dish,Unidentified Artist,Unknown Date,1971.180.227,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/197428.jpg
Duck-Shaped Vessel (Zun),Unidentified Artist,2nd–1st century BCE,1994.605.97,Earthenware with pigments,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1994_605_97_02.JPG
Bead,Unidentified Artist,Unknown Date,1985.214.113,Glass,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1985_214_113_O1.JPG
Bowl,Unidentified Artist,first half of the 19th century,79.2.251,Porcelain painted in blue under a crackled glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/28364.jpg
Bowl,Unidentified Artist,18th century?,13.100.141,Cinnabar lacquer,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_100_141_O.jpg
Rank Badge with Lion,Unidentified Artist,early 18th century,43.115.3,"Silk, feather, and metallic thread embroidery",China,https://images.metmuseum.org/CRDImages/as/mobile-large/43_115_3_O.JPG
Mirror,Unidentified Artist,19th century,44.136.14,"Glass, silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP14274.jpg
Summer Robe for Court Lady,Unidentified Artist,20th century,30.76.5,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79270.jpg
Reed and Rushes (A Page from the Jie Zi Yuan),Unidentified Artist,Unknown Date,CP49,Polychrome woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/CP49.jpg
Tab,Unidentified Artist,Unknown Date,30.75.670,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79592.jpg
Cup,Unidentified Artist,first half of the 19th century,79.2.1013,Porcelain covered with gilt,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_1013_S_sf.jpg
Small bowl,Unidentified Artist,Unknown Date,26.292.33,Stoneware with purple-blue glaze (Jun ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/26_292_33_O1_sf.jpg
Plaque with incised designs,Unidentified Artist,5th century BCE,2009.97,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP228950.jpg
Figure of Swallow,Unidentified Artist,18th century,02.18.900,"Chalcedony-agate, ivory stand",China,https://images.metmuseum.org/CRDImages/as/mobile-large/32702.jpg
Box with cover,Unidentified Artist,18th century,"42.90.54a, b",Lacquer,China,https://images.metmuseum.org/CRDImages/as/mobile-large/42_90_54ab_O1.JPG
Bowl (one of a pair),Unidentified Artist,ca. 10th–11th century,1991.253.24,Porcelain with carved decoration under bluish glaze (Qingbai ware),China,"https://images.metmuseum.org/CRDImages/as/mobile-large/1991_253_24,25.jpg"
Zhang Guolao and His Magic Mule,Yin Qi,Unknown Date,47.18.142,Album leaf; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP154405.jpg
Belt Plaque in the Shape of a Crouching Horse,Unidentified Artist,3rd–1st century BCE,1985.214.78,Silver,North China,https://images.metmuseum.org/CRDImages/as/mobile-large/5TH-8986-ENG-44787-1.mp3
Table stand,Unidentified Artist,17th century,1996.349,Zitan wood,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1996_349_05_sf.jpg
Roof Tile,Unidentified Artist,Unknown Date,15.66,Pottery,China,https://images.metmuseum.org/CRDImages/as/mobile-large/29544.jpg
Beaker,Unidentified Artist,Unknown Date,18.61.4,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/18_61_4_O1_sf.jpg
Vase with dragons,Unidentified Artist,late 18th–early 19th century,79.2.347,Porcelain painted in cobalt blue under light blue glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_347_O1_sf.jpg
Scabbard slide,Unidentified Artist,3rd century BCE,2008.282,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP162904.jpg
Length,Unidentified Artist,late 19th–early 20th century,54.27.10,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/157088.jpg
Chisel,Unidentified Artist,Unknown Date,16.144.11,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/16_144_11_34738.jpg
Piece of Nephrite from Daiwan,Unidentified Artist,20th century,1981.296.61,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/1981_296_61_O1.jpg
Buddhist luohans crossing the sea to the palace of the dragon king,Unidentified artist,late 16th–early 17th century,18.25.1,Handscroll; ink on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP166191_CRD.jpg
Pair of boxes with melons and butterflies,Unidentified Artist,19th century,"13.220.57a, b",Carved red lacquer,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14358-001.jpg
Snuff Bottle,Unidentified Artist,second half of 18th century,"21.175.306a, b",Black and white peking glass with coral stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP295194.jpg
Dish,Unidentified Artist,Unknown Date,26.292.7,Pottery (Jun ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/26_292_7_103427.jpg
Embroidered Case,Unidentified Artist,19th century,"67.179.20a, b",Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP14275.jpg
Woman&#39;s Sleeveless Jacket with Bamboo and Rock,Unidentified Artist,late 19th century,45.125.13,Silk and metallic thread tapestry (kesi),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP372025.jpg
Snuff Bottle,Unidentified Artist,Unknown Date,"21.175.180a, b",Lavender and green jadeite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/21_175_180ab_O1.jpg
Snuff Bottle,Unidentified Artist,Unknown Date,"14.40.446a, b",Rock crystal,China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_446.jpg
Sutra cover,Unidentified Artist,16th century,2011.221.13,Plain-weave silk with supplementary weft patterning,China,https://images.metmuseum.org/CRDImages/as/mobile-large/2011_221_13_Strm1.jpg
Acala,Unidentified Artist,12th century,2015.500.4.16,Chloritic stone with gilding,Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/DP353632.jpg
Belt buckle and decorative plaques,Unidentified Artist,7th century,2008.299a–i,Gilt bronze inlaid with glass and pearls; silk backing,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP200918.jpg
Square Dish,Unidentified Artist,19th century,24.80.374,Painted enamel,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_80_382.JPG
Bowl,Unidentified Artist,Unknown Date,34.113.10,Porcelanous ware with celadon glaze (Longquan ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/34_113_10_S1_sf.jpg
Box,Unidentified Artist,Unknown Date,"58.64.22a, b",Lacquer,China,https://images.metmuseum.org/CRDImages/as/mobile-large/58_64_22_O1.JPG
Bodhisattva Manjushri (Wenshu),Unidentified Artist,late 10th–early 12th century,42.25.5,Wood (foxglove) with traces of pigment; single woodblock construction,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP170142.jpg
Shard (Study Collection),Unidentified Artist,Unknown Date,1982.464.18,Blue-and-white porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1982_464_18.jpg
Snuff bottle with stopper,Unidentified Artist,18th–19th century,"02.18.932a, b",Rock crystal; pink tourmaline,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP293283.jpg
"Luohan, after a set attributed to Guanxiu",Unidentified,stone carved in 1757; rubbing 18th or 19th century?,59.195.10,Ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-18070-010.jpg
Conical Bell,Unidentified Artist,Unknown Date,29.110.4,Cloisonné enamel on copper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/29_110_4_O1.jpg
Sutra Cover,Unidentified Artist,16th century,46.186.58,"Silk, metallic thread",China,https://images.metmuseum.org/CRDImages/as/mobile-large/176124.jpg
