Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Libation Cup,Unidentified Artist,Unknown Date,02.18.459,"Nephrite, yellow with very faint greenish tint",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_459_O2.jpg
Vase with Dragons,Unidentified Artist,18th century,"02.18.821a, b",Rock crystal,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP278059.jpg
Festival Overcoat,Unidentified Artist,18th century,43.137,Silk and metallic thread embroidery on silk satin,China,https://images.metmuseum.org/CRDImages/as/mobile-large/RT663.jpg
Cicada,Unidentified Artist,late 19th to early 20th century,11.190.121,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_121_11802.jpg
Furniture Cover for Table,Unidentified Artist,19th century,30.75.57,"Silk / Compound weave: satin ground, broché pattern wefts in basket weave",China,https://images.metmuseum.org/CRDImages/as/mobile-large/78841.jpg
"Tea Bowl with Marbleized Veneer

",Unidentified Artist,12th–13th century,2006.72,"Earthenware with glaze (Cizhou ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP158779.jpg
"""Double phoenix"" lobed box and cover",Unidentified Artist,18th century,"2019.225a, b",Soapstone,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-22703-001.jpg
Bowl with wave pattern,Unidentified Artist,13th–14th century,16.47.2,Stoneware with incised decoration and traces of enamel (Cizhou ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/16_47_2_O1_sf.jpg
Dish with Scalloped Rim,Unidentified Artist,11th century,1991.253.16,Porcelain with ivory glaze (Ding ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP342647.jpg
Diamond-shaped plaque,Unidentified Artist,17th century,1991.409.17,Bone,Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/1991_409_1-23.JPG
Monthly flower cup (from set of twelve),Unidentified Artist,early 18th century,65.86.1,Porcelain painted in underglaze cobalt blue and overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-24517-003.jpg
Table screen,Unidentified Artist,Unknown Date,02.18.731,"Nephrite, spinach-green",China,https://images.metmuseum.org/CRDImages/as/mobile-large/32790.jpg
