Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Bowl with Dragons and Clouds,Unknown,1403–1424,1964.165,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Yongle period (1403-1424)",https://openaccess-cdn.clevelandart.org/1964.165/1964.165_web.jpg
Stem Cup,Unknown,1426–35,1964.168,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Xuande mark and period (1426-1435)",https://openaccess-cdn.clevelandart.org/1964.168/1964.168_web.jpg
Libation Cup in the form of a Jue,Unknown,1662–1722,1964.177,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Kangxi period (1662-1722)",https://openaccess-cdn.clevelandart.org/1964.177/1964.177_web.jpg
"Bowl with Bamboo, Tree Peony, and Swallow",Unknown,1723–35,1964.199,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Yongzheng mark and reign (1723-35)",https://openaccess-cdn.clevelandart.org/1964.199/1964.199_web.jpg
"Dish with Spray of Gardenia amidst Pomegranate, Lotus, and Grapes",Unknown,1488–1505,1964.212,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644), Hongzhi mark and reign (1488-1505)",https://openaccess-cdn.clevelandart.org/1964.212/1964.212_web.jpg
Mallet-Shaped Bottle with Phoenixes,Unknown,1662–1722,1964.221,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Kangxi mark and period (1662-1722)",https://openaccess-cdn.clevelandart.org/1964.221/1964.221_web.jpg
Winged Chimera (Bixie),Unknown,400s,1980.184,Sculpture,"China, Southern and Northern Dynasties period (386-589)",https://openaccess-cdn.clevelandart.org/1980.184/1980.184_web.jpg
Dish,Unknown,1426–35,1989.285,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Xuande mark and period (1426-1435)",https://openaccess-cdn.clevelandart.org/1989.285/1989.285_web.jpg
Bowl,Unknown,1488–1505,1989.289,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Hongzhi mark and period (1488-1505)",https://openaccess-cdn.clevelandart.org/1989.289/1989.289_web.jpg
Incense Burner in the form of an archaic bronze vessel,Unknown,1600s,1989.296,Ceramic,"Chinese, Fujian province, Dehua, Ming dynasty (1368-1644)",https://openaccess-cdn.clevelandart.org/1989.296/1989.296_web.jpg
Mallet-Shaped Bottle with Phoenixes,Unknown,1662–1722,1989.301,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Kangxi mark and period (1662-1722)",https://openaccess-cdn.clevelandart.org/1989.301/1989.301_web.jpg
Moon Lute (Yueqin),Unknown,1800s,1918.382,Musical Instrument,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1918.382/1918.382_web.jpg
Ink Cake,Unknown,1736–95,1942.215.1,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.1/1942.215.1_web.jpg
Ink Cake,Unknown,1736–95,1942.215.7,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.7/1942.215.7_web.jpg
Fragrance Container,Unknown,1736–95,1942.617.a,Jade,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.617.a/1942.617.a_web.jpg
