Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image,Museum
Cylindrical Jar,Unknown,202 BC-AD 220,1948.214,Ceramic,"China, Han dynasty (202 BC-AD 220)",https://openaccess-cdn.clevelandart.org/1948.214/1948.214_web.jpg,Cleveland Art Museum
Poem on Imperial Gift of an Embroidered Silk: Calligraphy in Cursive Script Style (xingshu),"Wen Zhengming (Chinese, 1470–1559)",c. 1525,1998.169,Calligraphy,"China, Suzhou, Ming dynasty (1368-1644)",https://openaccess-cdn.clevelandart.org/1998.169/1998.169_web.jpg,Cleveland Art Museum
"Album of Miscellaneous Subjects, Leaf 1","Fan Qi (Chinese, 1616-aft 1694)",early 1650s,1975.22.1,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1975.22.1/1975.22.1_web.jpg,Cleveland Art Museum
Clouds Visiting a Mountain Retreat,"Tao Hong (Chinese, active c. 1610–1640)",1633,1971.19,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1971.19/1971.19_web.jpg,Cleveland Art Museum
Wine Cup (Jue),Unknown,c. 1400 BC,1982.148,Metalwork,"China, Middle Shang dynasty (c.1600-c.1046 BC), Erligang phase (c. 1600-1400 BC)",https://openaccess-cdn.clevelandart.org/1982.148/1982.148_web.jpg,Cleveland Art Museum
Scholar Reclining and Watching Rising Clouds; Poem by Wang Wei,"Ma Lin (Chinese, c. 1185–after 1260)",1225–75,1961.421,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1961.421/1961.421_web.jpg,Cleveland Art Museum
Plate,Unknown,1100s–1200s,1942.665,Ceramic,"Northern China, Northern Song dynasty (960-1127) - Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/1942.665/1942.665_web.jpg,Cleveland Art Museum
Reminiscences of Qinhuai River,"Shitao (Chinese, 1642–1707)",1642–1707,1966.31.7,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1966.31.7/1966.31.7_web.jpg,Cleveland Art Museum
Squirrels on the Chestnut Tree,"Ge Shuying (Chinese, active 1300s)",1300s,1979.70,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1979.70/1979.70_web.jpg,Cleveland Art Museum
Tao Yuanming's Return Home,Unknown,1300s,1982.152,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1982.152/1982.152_web.jpg,Cleveland Art Museum
Tihong,Unknown,1585,1961.420,Lacquer,"China, Ming dynasty (1368-1644), Wanli reign (1572-1620)",https://openaccess-cdn.clevelandart.org/1961.420/1961.420_web.jpg,Cleveland Art Museum
Spouted Ewer with Handle,Unknown,900s,1948.219,Ceramic,"Northern China, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1948.219/1948.219_web.jpg,Cleveland Art Museum
Amitābha Triad,Unknown,possibly 1400s,1961.135,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1961.135/1961.135_web.jpg,Cleveland Art Museum
White-Robed Guanyin,"Zhang Yuehu (Chinese, active 1200s)",late 1200s,1972.160,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1972.160/1972.160_web.jpg,Cleveland Art Museum
Buddha Amitābha with Two Attending Bodhisattvas,Unknown,1200s,1974.35,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1974.35/1974.35_web.jpg,Cleveland Art Museum
Peonies,Unknown,late 1200s,1976.90,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1976.90/1976.90_web.jpg,Cleveland Art Museum
Sericulture (The Process of Making Silk),"Liang Kai (Chinese, mid-1100s-early 1200s)",early 1200s,1977.5,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1977.5/1977.5_web.jpg,Cleveland Art Museum
Plum Blossoms,"Wang Shishen (Chinese, 1686–1759)",probably 1739,1985.366,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1985.366/1985.366_web.jpg,Cleveland Art Museum
Animal-and-Grape Mirror,Unknown,mid 600s,1995.356,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.356/1995.356_web.jpg,Cleveland Art Museum
The Immortal Li Tieguai,Su Wennan (Chinese),1500s,1973.158,Sculpture,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1973.158/1973.158_web.jpg,Cleveland Art Museum
Su Dongpo,"Min Zhen (Chinese, 1730-after 1788)",1788,1985.71.6,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1985.71.6/1985.71.6_web.jpg,Cleveland Art Museum
Frieze Fragment with Chariot Procession,Unknown,AD 100s,1985.73,Sculpture,"China, style of Wu Family Shrines, Jiaxiang district, Shandong, Eastern Han dynasty (AD 25–220)",https://openaccess-cdn.clevelandart.org/1985.73/1985.73_web.jpg,Cleveland Art Museum
Vase with Peony Decoration,Unknown,1000s-1100s,1948.119,Ceramic,"China, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1948.119/1948.119_web.jpg,Cleveland Art Museum
Dragon; Tiger,"Fachang Muqi (Chinese, 1220–1280)",c. 1250–1279,1958.427,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1958.427/1958.427_web.jpg,Cleveland Art Museum
Tiger,"Fachang Muqi (Chinese, 1220–1280)",c. 1250–1279,1958.427.2,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1958.427.2/1958.427.2_web.jpg,Cleveland Art Museum
"Bamboo, Rock, and Tall Tree","Ni Zan (Chinese, 1301–1374)",c. 1300s,1978.65,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1978.65/1978.65_web.jpg,Cleveland Art Museum
In the Palace,"Zhou Wenju (Chinese, active 942–961)",before 1140,1976.1,Painting,"China, Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/1976.1/1976.1_web.jpg,Cleveland Art Museum
Seal with Reclining Qilin,Unknown,1736–95,1952.494,Stone,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1952.494/1952.494_web.jpg,Cleveland Art Museum
Wine Cup,Unknown,960–1279,1957.71,Ceramic,"China, Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/1957.71/1957.71_web.jpg,Cleveland Art Museum
Seated Buddha,Unknown,600s,1961.18,Sculpture,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1961.18/1961.18_web.jpg,Cleveland Art Museum
Jar with Dragon and Phoenix Design,Unknown,1522–66,1972.14,Lacquer,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Jiajing mark and reign (1522-66)",https://openaccess-cdn.clevelandart.org/1972.14/1972.14_web.jpg,Cleveland Art Museum
"Album of Miscellaneous Subjects, Colophon","Fan Qi (Chinese, 1616-aft 1694)",early 1650s,1975.22.11,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1975.22.11/1975.22.11_web.jpg,Cleveland Art Museum
Shakyamuni Triad:  Buddha Attended by Manjushri and Samantabhadra,Unknown,c. 900,1975.92,Painting,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1975.92/1975.92_web.jpg,Cleveland Art Museum
Textile Ornaments(?): Pair of Phoenixes,Unknown,c. 700s,1942.1083,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1942.1083/1942.1083_web.jpg,Cleveland Art Museum
Mirror with a Square Band and Four Nipples,Unknown,late 200s-early 100s BC,1995.275,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1995.275/1995.275_web.jpg,Cleveland Art Museum
Mirror with Concentric Circles and Linked Arcs,Unknown,late 200s-9 BC,1995.290,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1995.290/1995.290_web.jpg,Cleveland Art Museum
Mirror with Concentric Circles and Linked Arcs,Unknown,1st century BC,1995.306,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1995.306/1995.306_web.jpg,Cleveland Art Museum
Mirror with Four Pixie,Unknown,early 400s-late 500s,1995.327,Metalwork,"China, Southern and Northern Dynasties period (386-589)",https://openaccess-cdn.clevelandart.org/1995.327/1995.327_web.jpg,Cleveland Art Museum
Mirror with Four Nipples and Eight Animals,Unknown,AD 300,1995.334,Metalwork,"China, Western Jin dynasty (265-316)",https://openaccess-cdn.clevelandart.org/1995.334/1995.334_web.jpg,Cleveland Art Museum
Eighteen Views of Huzhou,"Song Xu (Chinese, 1525-c. 1606)",c. 1588,1998.78,Painting,"China, Jiaxing, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1998.78/1998.78_web.jpg,Cleveland Art Museum
Landscapes in Various Styles after Old Masters,"Mei Qing (Chinese, 1623–1697)",1690,1962.157.7,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1962.157.7/1962.157.7_web.jpg,Cleveland Art Museum
"""Seventh Month"" from the Odes of Bin (Binfeng)",Unknown,1200s,1980.187,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1980.187/1980.187_web.jpg,Cleveland Art Museum
Pair of Jade Plaques,Unknown,475–221 BC,1991.78,Jade,"China, Henan province, Eastern Zhou dynasty (771-256 BC), Warring States period (475-221 BC)",https://openaccess-cdn.clevelandart.org/1991.78/1991.78_web.jpg,Cleveland Art Museum
Square Double-Gourd Vase with Floral Scrolls,Unknown,1522–66,1964.172,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644), Jiajing mark and reign (1522-66)",https://openaccess-cdn.clevelandart.org/1964.172/1964.172_web.jpg,Cleveland Art Museum
Birds on a Peach Branch,Unknown,1100s,1985.367,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1985.367/1985.367_web.jpg,Cleveland Art Museum
Water Village,"Wen Boren (Chinese, 1502–1575)",1570,1985.370,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1985.370/1985.370_web.jpg,Cleveland Art Museum
Buffalo with Rider,Unknown,early 1300s,1989.278,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1989.278/1989.278_web.jpg,Cleveland Art Museum
Washing the Feet (from the Dusty World),"Wen Boren (Chinese, 1502–1575)",1570,1997.103,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1997.103/1997.103_web.jpg,Cleveland Art Museum
Landscapes in Various Styles after Old Masters,"Mei Qing (Chinese, 1623–1697)",1690,1962.157.2,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1962.157.2/1962.157.2_web.jpg,Cleveland Art Museum
Cottages in a Misty Grove in Autumn,"Li Anzhong (Chinese, active first half of the 1100s)",1117,1963.588,Painting,"China, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1963.588/1963.588_web.jpg,Cleveland Art Museum
Fluted Ring with Dragon Head (Huan),Unknown,475–221 BC,1985.75,Jade,"China, Warring States period (475-221 BC)",https://openaccess-cdn.clevelandart.org/1985.75/1985.75_web.jpg,Cleveland Art Museum
Bowl,Unknown,1662–1722,1940.962,Ceramic,"China, Qing dynasty (1644-1911), Kangxi reign (1661-1722)",https://openaccess-cdn.clevelandart.org/1940.962/1940.962_web.jpg,Cleveland Art Museum
Solitary Colors of the Autumn Woods,"Wang Jianzhang (Chinese, active 1621–1662)",first half 1600s,1972.68,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1972.68/1972.68_web.jpg,Cleveland Art Museum
Snow Coloring the World White,"Fa Ruozhen (Chinese, 1613–1696)",1690,1979.76,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1979.76/1979.76_web.jpg,Cleveland Art Museum
Bamboo in Four Seasons: Summer,Unknown,1279–1368,1982.150.1,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1982.150.1/1982.150.1_web.jpg,Cleveland Art Museum
Bulb Bowl,Unknown,1300s–1400s,1942.660,Ceramic,"Northern China, Yuan dynasty (1271-1368) - Ming dynasty (1368-1644)",https://openaccess-cdn.clevelandart.org/1942.660/1942.660_web.jpg,Cleveland Art Museum
Su Wu the Shepherd,"Min Zhen (Chinese, 1730-after 1788)",1788,1985.71.10,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1985.71.10/1985.71.10_web.jpg,Cleveland Art Museum
Lu Tong and Servant,"Min Zhen (Chinese, 1730-after 1788)",1788,1985.71.2,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1985.71.2/1985.71.2_web.jpg,Cleveland Art Museum
Peaches,"Min Zhen (Chinese, 1730-after 1788)",1788,1985.71.9,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1985.71.9/1985.71.9_web.jpg,Cleveland Art Museum
Summer Mountains (after Dong Yuan [active about ad 937-975]),"Huang Gongwang (Chinese, 1269–1354)",1290–1354,1992.1,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1992.1/1992.1_web.jpg,Cleveland Art Museum
Octafoil Mirror with Lunar Palace,Unknown,early 1100s–mid-1200s,1995.375,Metalwork,"China, Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/1995.375/1995.375_web.jpg,Cleveland Art Museum
Bamboo in the Wind,"Puming (Xue Zhuang) (Chinese, active before 1274-after 1329)",1300s,1953.246,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1953.246/1953.246_web.jpg,Cleveland Art Museum
Barbarian Royalty Worshiping the Buddha,"Zhao Guangfu (Chinese, c. 923–976)",900s,1957.358,Painting,"China, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1957.358/1957.358_web.jpg,Cleveland Art Museum
Covered Jar (stand),Unknown,1573–1620,1957.62.c,Wood,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644), Wanli reign (1573-1620)",https://openaccess-cdn.clevelandart.org/1957.62.c/1957.62.c_web.jpg,Cleveland Art Museum
Hare,Unknown,early 700s,1984.6,Sculpture,"North China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1984.6/1984.6_web.jpg,Cleveland Art Museum
Reminiscences of Qinhuai River,"Shitao (Chinese, 1642–1707)",1642–1707,1966.31,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1966.31/1966.31_web.jpg,Cleveland Art Museum
Landscapes in Various Styles after Old Masters,"Mei Qing (Chinese, 1623–1697)",1690,1962.157.3,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1962.157.3/1962.157.3_web.jpg,Cleveland Art Museum
Landscapes in Various Styles after Old Masters,"Mei Qing (Chinese, 1623–1697)",1690,1962.157.5,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1962.157.5/1962.157.5_web.jpg,Cleveland Art Museum
Landscapes in Various Styles after Old Masters,"Mei Qing (Chinese, 1623–1697)",1690,1962.157.6,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1962.157.6/1962.157.6_web.jpg,Cleveland Art Museum
Landscapes after Various Styles of Old Masters,"Mei Qing (Chinese, 1623–1697)",1690,1962.157.9,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1962.157.9/1962.157.9_web.jpg,Cleveland Art Museum
Textile Ornament(?): Phoenix,Unknown,c. 700s,1942.1083.1,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1942.1083.1/1942.1083.1_web.jpg,Cleveland Art Museum
Pedestal,Unknown,mid-700s,1968.70,Sculpture,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1968.70/1968.70_web.jpg,Cleveland Art Museum
Thumb Ring,Unknown,1736–95,1970.140,Jade,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1970.140/1970.140_web.jpg,Cleveland Art Museum
Clearing Autumn Mists in the Chu Mountains,"Lan Ying (Chinese, 1585-aft 1664)",1600s,1971.231,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1971.231/1971.231_web.jpg,Cleveland Art Museum
Birds on an Autumn Inlet,Unknown,c. 1200,1985.369,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1985.369/1985.369_web.jpg,Cleveland Art Museum
Poet and Recluse Hanshan,Unknown,1400s,1991.117,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1991.117/1991.117_web.jpg,Cleveland Art Museum
Arrow Vase with Persian Inscriptions and Floral Scrolls,Unknown,1506–21,1964.170,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644), Zhengde mark and reign (1505-1521)",https://openaccess-cdn.clevelandart.org/1964.170/1964.170_web.jpg,Cleveland Art Museum
Polo Player,Unknown,late 600s-early 700s,1964.181,Sculpture,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1964.181/1964.181_web.jpg,Cleveland Art Museum
Fish,Unknown,c. 1400,1977.201,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1977.201/1977.201_web.jpg,Cleveland Art Museum
Bowl,Unknown,1723–35,1980.73,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Yongzheng mark and reign (1723-35)",https://openaccess-cdn.clevelandart.org/1980.73/1980.73_web.jpg,Cleveland Art Museum
Bowl with Lily Scrolls,Unknown,1465–87,1967.64,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Chenghua mark and period (1465-1487)",https://openaccess-cdn.clevelandart.org/1967.64/1967.64_web.jpg,Cleveland Art Museum
Pitcher (Gong) with Dragon and Bird-Headed Handle,Unknown,1700s,1972.251,Jade,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1972.251/1972.251_web.jpg,Cleveland Art Museum
Pitcher (Gong) with Dragon and Bird-Headed Handle,Unknown,1700s,1972.251.a,Jade,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1972.251.a/1972.251.a_web.jpg,Cleveland Art Museum
Pitcher (Gong) with Dragon and Bird-Headed Handle,Unknown,1700s,1972.251.b,Jade,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1972.251.b/1972.251.b_web.jpg,Cleveland Art Museum
Buddhist Retreat by Stream and Mountains,"Juran (Chinese, active 960–985)",960–985,1959.348,Painting,"China, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1959.348/1959.348_web.jpg,Cleveland Art Museum
Ramblers over a Winding Stream,"Luo Zhichuan (Chinese, active 1280s-1320s)",before 1330,1915.536,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1915.536/1915.536_web.jpg,Cleveland Art Museum
Album of Daoist and Buddhist Themes,Unknown,1200s,2004.1,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/2004.1/2004.1_web.jpg,Cleveland Art Museum
Vase,Unknown,1000s-1100s,1942.656,Ceramic,"Northern China, Liao dynasty (916-1125) or Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1942.656/1942.656_web.jpg,Cleveland Art Museum
Dragon,"Fachang Muqi (Chinese, 1220–1280)",c. 1250–1279,1958.427.1,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1958.427.1/1958.427.1_web.jpg,Cleveland Art Museum
Paintings after Ancient Masters,"Chen Hongshou (Chinese, 1598/99–1652)",1598–1652,1979.27,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1979.27/1979.27_web.jpg,Cleveland Art Museum
Landscape in Color after Ni Zan,"Wang Yuanqi (Chinese, 1642–1715)",1707,1954.583,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1954.583/1954.583_web.jpg,Cleveland Art Museum
Ink Cake,Unknown,1736–95,1942.215.2,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.2/1942.215.2_web.jpg,Cleveland Art Museum
Ink Cake,Unknown,1736–95,1942.215.3,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.3/1942.215.3_web.jpg,Cleveland Art Museum
Ink Cake,Unknown,1736–95,1942.215.4,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.4/1942.215.4_web.jpg,Cleveland Art Museum
Ink Cake,Unknown,1736–95,1942.215.5,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.5/1942.215.5_web.jpg,Cleveland Art Museum
Ink Cake,Unknown,1736–95,1942.215.6,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.6/1942.215.6_web.jpg,Cleveland Art Museum
Ink Cake,Unknown,1736–95,1942.215.8,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.8/1942.215.8_web.jpg,Cleveland Art Museum
Ink Cake,Unknown,1736–95,1942.215.9,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.9/1942.215.9_web.jpg,Cleveland Art Museum
Fragrance Container,Unknown,1736–95,1942.617,Jade,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.617/1942.617_web.jpg,Cleveland Art Museum
Cylindrical Brushholder,Unknown,"1736–95 or later, mid-1800s?",1944.178,Ceramic,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1944.178/1944.178_web.jpg,Cleveland Art Museum
Bowl with Flying Cranes,Unknown,1723–35,1964.197,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Yongzheng mark and reign (1723-35)",https://openaccess-cdn.clevelandart.org/1964.197/1964.197_web.jpg,Cleveland Art Museum
Mirror with 'Shan' (Mountain) Pattern,Unknown,200s BC,1972.34,Metalwork,"China, probably State of Chu, possibly Hunan province, Eastern Zhou dynasty (771-256 BC), Warring States period (475-221 BC)",https://openaccess-cdn.clevelandart.org/1972.34/1972.34_web.jpg,Cleveland Art Museum
Dish with Laozi Riding a Water Buffalo (interior); Pavilion and Immortals in Rocky Landscape (exterior),Unknown,1723–35,1989.315,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Yongzheng reign (1723-35)",https://openaccess-cdn.clevelandart.org/1989.315/1989.315_web.jpg,Cleveland Art Museum
Lineage Portrait of Buddhist Monks,Unknown,1600s,2003.352,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/2003.352/2003.352_web.jpg,Cleveland Art Museum
Tripod with Cover (lid),Unknown,late 1700s,1921.1144.b,Wood,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1921.1144.b/1921.1144.b_web.jpg,Cleveland Art Museum
Textile Ornament(?): Phoenix,Unknown,c. 700s,1942.1083.2,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1942.1083.2/1942.1083.2_web.jpg,Cleveland Art Museum
Inlays for a Mirror or Box,Unknown,c. 900–1000,1969.78,Metalwork,"China, Tang dynasty (618-907) - Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/1969.78/1969.78_web.jpg,Cleveland Art Museum
Waterfowl and Reeds,"Liang Kai (Chinese, mid-1100s-early 1200s)",early 1200s,1984.42,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1984.42/1984.42_web.jpg,Cleveland Art Museum
Mirror with Serpentine Interlaces,Unknown,early 5th-late 3rd century BC,1995.268,Metalwork,"China, Eastern Zhou dynasty (771-256 BC), Warring States period (475-221 BC)",https://openaccess-cdn.clevelandart.org/1995.268/1995.268_web.jpg,Cleveland Art Museum
TLV Mirror,Unknown,early 1st Century - early 3rd Century,1995.296,Metalwork,"China, Eastern Han dynasty (25-220)",https://openaccess-cdn.clevelandart.org/1995.296/1995.296_web.jpg,Cleveland Art Museum
Octafoil Mirror with Crouched Animals,Unknown,early 600s-early 900s,1995.342,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.342/1995.342_web.jpg,Cleveland Art Museum
Lobed Mirror with Acrobats on Lotus Blossoms,Unknown,early 600s-early 900s,1995.343,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.343/1995.343_web.jpg,Cleveland Art Museum
Animal-and-Grape Mirror,Unknown,early 600s-early 900s,1995.354,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.354/1995.354_web.jpg,Cleveland Art Museum
Mirror of Tortoise Knob and Lotus Pattern,Unknown,early 600s-early 900s,1995.361,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.361/1995.361_web.jpg,Cleveland Art Museum
Plaque with Openwork Interlaced Dragons and Birds,Unknown,475–221 BC,1952.584,Jade,"China, Warring States period (475-221 BC)",https://openaccess-cdn.clevelandart.org/1952.584/1952.584_web.jpg,Cleveland Art Museum
Octofoil Dish with Three Boys,Unknown,1700s,1947.536,Jade,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1947.536/1947.536_web.jpg,Cleveland Art Museum
Lotus Bowl,Unknown,1200s,1957.54,Ceramic,"China, Zhejiang province, Longquan region, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1957.54/1957.54_web.jpg,Cleveland Art Museum
Gourd Flask with Floral Medallion,Unknown,1403–24,1964.182,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Yongle period (1403-24)",https://openaccess-cdn.clevelandart.org/1964.182/1964.182_web.jpg,Cleveland Art Museum
Standing Bodhisattva,Unknown,late 500s,1979.20,Sculpture,"China, Sui dynasty (581-618)",https://openaccess-cdn.clevelandart.org/1979.20/1979.20_web.jpg,Cleveland Art Museum
Sections of a Coffin Platform,Unknown,550–577,1982.260,Sculpture,"China, Northern Qi dynasty (550-577)",https://openaccess-cdn.clevelandart.org/1982.260/1982.260_web.jpg,Cleveland Art Museum
Spring Mist over Jiangnan,"Shitao (Chinese, 1642–1707)",1697,1954.126,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1954.126/1954.126_web.jpg,Cleveland Art Museum
Dish with Bats and Peaches,Unknown,1723–35,1930.639,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Yongzheng mark and reign (1722-35)",https://openaccess-cdn.clevelandart.org/1930.639/1930.639_web.jpg,Cleveland Art Museum
