Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image,Museum
Brush with Carved Designs (brush cap),Unknown,1573–1619,1967.194.b,Wood,"China, Ming dynasty (1368-1644), Wanli mark and reign (1573-1619)",https://openaccess-cdn.clevelandart.org/1967.194.b/1967.194.b_web.jpg,Cleveland Art Museum
Purification at the Orchid Pavilion,Unknown,c. 1500,1974.72,Lacquer,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1974.72/1974.72_web.jpg,Cleveland Art Museum
Chest for Storing Garments,Unknown,1400s,1975.10,Lacquer,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1975.10/1975.10_web.jpg,Cleveland Art Museum
Nine Songs,"Zhang Wo (Chinese, active c.1336–after 1364)",1361,1959.138,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1959.138/1959.138_web.jpg,Cleveland Art Museum
Spring Landscape,"Kuncan (Chinese, 1612-c. 1673)",1666,1966.367,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1966.367/1966.367_web.jpg,Cleveland Art Museum
Figure of Daoist Immortal He Xiangu,Unknown,1700s,1976.60,Wood,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1976.60/1976.60_web.jpg,Cleveland Art Museum
Figure of Daoist Immortal He Xiangu,Unknown,1700s,1976.60.a,Wood,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1976.60.a/1976.60.a_web.jpg,Cleveland Art Museum
Purification at the Orchid Pavilion,"Fan Yi (Chinese, c. 1615–before 1688)",1671,1977.47,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1977.47/1977.47_web.jpg,Cleveland Art Museum
Hall of Lofty Pines,"Wang Hui (Chinese, 1632–1717)",1703,1997.106,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1997.106/1997.106_web.jpg,Cleveland Art Museum
Pair of Leather Bag-Shaped Flasks with Covers,Unknown,916–1125,2012.448,Ceramic,"Northeast China, Liao dynasty (916-1125)",https://openaccess-cdn.clevelandart.org/2012.448/2012.448_web.jpg,Cleveland Art Museum
Ewer with a Lion-shaped Spout,Unknown,900s-1000s,1948.220,Ceramic,"China, Shaanxi province, Tongchuan, Huangbaozhen, Five Dynasties period (907-960) or Northern Song dynasty (960-1126)",https://openaccess-cdn.clevelandart.org/1948.220/1948.220_web.jpg,Cleveland Art Museum
Basin,Unknown,1127–1279,1957.48,Ceramic,"China, Zhejiang province, Hangzhou, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1957.48/1957.48_web.jpg,Cleveland Art Museum
Figure of Daoist Immortal He Xiangu (base),Unknown,1700s,1976.60.b,Wood,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1976.60.b/1976.60.b_web.jpg,Cleveland Art Museum
A Vignette of Life on the Frontier,"Jiao Bingzhen (Chinese, active c. 1670–1726)",c. 1717–22,1979.18,Painting,"China, Qing dynasty (1644-1911), Kangxi period (1662-1722)",https://openaccess-cdn.clevelandart.org/1979.18/1979.18_web.jpg,Cleveland Art Museum
Saying Farewell at Xunyang (Song of the Pipa),"Wen Boren (Chinese, 1502–1575)",1500s,1954.581,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1954.581/1954.581_web.jpg,Cleveland Art Museum
Adoring Monk,Unknown,early 500s,1962.213,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1962.213/1962.213_web.jpg,Cleveland Art Museum
Meiping  Vase with Cloud Collars and Peony Sprays,Unknown,1403–24,1964.167,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644), Yongle period (1403-1424)",https://openaccess-cdn.clevelandart.org/1964.167/1964.167_web.jpg,Cleveland Art Museum
Bird-shaped Urn,Unknown,2650–2350 BC,2007.276,Ceramic,"Northwest China, Neolithic period, Majiayao culture, Banshan phase (2650-2350 BC)",https://openaccess-cdn.clevelandart.org/2007.276/2007.276_web.jpg,Cleveland Art Museum
